,image_name,intersection,ratio,width,height
0,M_HS_m3_922_01082,5868,0.2573684210526316,150,152
0,M_P_m3_914_00008,6615,0.018375,600,600
0,M_HS_m1_711_03684,4011087,0.40622531090348485,3385,2917
0,M_HS_m2_822_01364,10428,0.06974644345307766,371,403
0,M_HA_h2_1121_00020,0,0.0,949,671
0,M_HS_m1_722_00673,8766,0.23950819672131146,150,244
0,M_P_m1_721_00505,1782,0.00495,600,600
0,M_HS_m2_823_00609,8568,0.952,60,150
0,M_HS_e6_615_00207,40176,0.5293280632411067,150,506
0,M_HS_m1_711_00476,9624,1.402097902097902,52,132
0,M_HS_h2_1112_01284,3822,0.10528925619834711,150,242
0,M_HS_h3_1232_00241,1008,0.03632432432432432,150,185
0,M_HA_m2_822_00146,0,0.0,575,407
0,M_HS_e4_424_00216,2898,0.07853658536585366,150,246
0,M_HS_m3_921_02109,19296,1.1485714285714286,150,112
0,M_HA_m1_721_00006,0,0.0,613,434
0,M_HS_m2_821_00987,4461,0.11482625482625483,150,259
0,M_HA_h2_1122_00076,4248,0.004179456906729634,1200,847
0,M_HA_h2_1122_00076,19398,0.01908500590318772,1200,847
0,M_HS_e6_613_00116,6864,0.4085714285714286,150,112
0,M_HS_m1_715_00652,47892,2.192857142857143,80,273
0,M_HA_m2_821_00250,10428,0.039196818547447394,613,434
0,M_HS_m1_723_01847,17484,0.47575510204081634,150,245
0,M_HS_m1_721_01005,29199,0.6140694006309149,150,317
0,M_HA_m2_821_00244,19932,0.07068586424569119,613,460
0,M_HA_m1_711_00094,35778,0.12688133910206398,613,460
0,M_HA_m1_723_00065,87240,0.38742339461763925,278,810
0,M_HS_m1_711_01167,15099,1.9874950638409898,107,71
0,M_HA_m1_721_00066,28938,0.015844283837056505,1200,1522
0,M_HA_m1_711_00037,0,0.0,575,432
0,M_HA_m1_715_00056,0,0.0,405,559
0,M_HS_m2_821_00104,5001,0.12398968612089056,134,301
0,M_P_m1_721_00443,50976,0.1416,600,600
0,M_HS_m1_711_02110,4455,0.9470663265306123,98,48
0,M_HS_h1_1024_00217,22680,1.05,150,144
0,M_P_m1_712_00024,60207,0.20069,500,600
0,M_HS_m1_725_00581,176895,0.46088970641876753,671,572
0,M_HS_m1_725_00581,38625,0.10063520682000562,671,572
0,M_HS_h2_1125_01353,12834,0.372,150,230
0,M_HA_m1_711_00116,5475,0.02435314055431751,547,411
0,M_HA_m1_711_00116,18726,0.08329441278906845,547,411
0,M_HS_m2_822_00582,10368,1.5804878048780489,82,80
0,M_HS_h2_1121_01486,97155,0.32017545305049055,469,647
0,M_HS_h2_1121_01486,18807,0.0619786912204269,469,647
0,M_HS_m2_822_02088,1410,0.04140969162995595,150,227
0,M_HA_m1_711_00074,948,0.0042167629672133335,547,411
0,M_HS_m1_723_00357,12414,0.12696367206676484,168,582
0,M_HS_m3_911_00081,864,0.3137254901960784,81,34
0,M_HS_h2_1125_02459,2673,0.03279352226720648,143,570
0,M_HA_m1_711_00050,0,0.0,589,442
0,M_HS_m1_711_00188,17523,1.8841935483870969,150,62
0,M_HA_m1_712_00185,6789,0.024076175615291864,613,460
0,M_HA_h1_1019_00032,85974,0.0859052757793765,1200,834
0,M_HS_m1_721_01580,10092,0.6205497140748939,117,139
0,M_HS_e5_512_00404,16875,0.5022321428571429,150,224
0,M_P_m1_721_00441,6762,0.018783333333333332,600,600
0,M_P_m1_715_00226,1932,0.005366666666666666,600,600
0,M_HS_m1_711_01666,5544,0.668918918918919,56,148
0,M_HS_m1_721_00679,34356,0.8924563591022444,96,401
0,M_HS_h3_1235_00787,7089,0.295375,150,160
