,image_name,intersection
0,M_HS_m1_723_01952,0.338840045377198
0,M_P_h3_1233_00102,0.06327940290204441
0,M_HS_m2_813_00345,0.307227047146402
0,M_HS_h2_1112_00181,0.13495575221238937
0,M_P_h1_1015_00244,0.019346440905703158
0,M_HA_h2_1125_00016,0.032707993474714515
0,M_P_m1_713_00087,0.06208425720620843
0,M_HS_h2_1113_00540,0.0015246015246015245
0,M_HS_h2_1113_00540,0.24365904365904367
0,M_HS_h1_1018_01741,0.2212979425958852
0,M_P_m2_815_00137,0.04843129843129843
0,M_HS_m1_711_01053,0.2356687898089172
0,M_HS_m2_815_00289,0.7739393939393939
0,M_HS_m1_713_04684,0.4931899641577061
0,M_P_m2_812_00001,0.05442324095173836
0,M_HS_h2_1116_01017,0.25838617566267746
0,M_P_m3_921_00303,0.06912681912681913
0,M_P_h3_1233_00197,0.022076711731884146
0,M_P_h1_1012_00270,0.031232046157419292
0,M_HS_h1_1019_00637,0.196875
0,M_HS_h2_1125_03124,0.537182852143482
0,M_P_h2_1113_00206,0.005012285012285012
0,M_HS_m1_715_01537,0.7211948790896159
0,M_P_h2_1115_00412,0.09917355371900827
0,M_P_m3_921_00387,0.08416928429087715
0,M_HS_h2_1114_00245,0.31572556162720095
0,M_P_m2_822_00123,0.032256032256032255
0,M_HA_m1_715_00006,0.018276811737974102
0,M_P_h2_1122_00340,0.02284581231949653
0,M_HS_m1_714_01004,0.3703164434090468
0,M_HA_m1_711_00117,0.01555738594129819
0,M_P_h1_1010_00047,0.05499005499005499
0,M_HS_h1_1023_00052,0.535290686369823
0,M_HA_m2_822_00056,0.01516064969146748
0,M_P_m3_921_00259,0.04924378671873662
0,M_HS_h1_1023_01962,0.646498599439776
0,M_HA_h1_1023_00112,0.03590417158598977
0,M_HA_m2_824_00081,0.006159420289855073
0,M_HS_m3_914_00369,0.4426143790849673
0,M_P_e6_613_00074,0.009573398174434445
0,M_P_h2_1111_00111,0.04339772884642017
0,M_HS_m2_822_00477,0.566814492511087
0,M_HS_m1_723_01181,0.21237697497152536
0,M_HA_m2_822_00095,0.007290085107505209
0,M_HS_h1_1023_01614,0.29875669404830263
0,M_HS_h2_1116_01576,0.5599666064602848
0,M_HS_m1_715_00918,0.20740269792127378
0,M_P_m3_914_00316,0.06218840199422724
0,M_P_h1_1012_00046,0.16198764738910723
0,M_HS_h1_1019_00329,0.05978280414775421
0,M_HS_h1_1016_00476,0.25748175182481753
0,M_HS_h2_1113_00268,0.3740484429065744
0,M_P_h3_1216_00191,0.10273593265396544
0,M_HS_m2_814_00552,0.2942708333333333
0,M_HS_m2_821_02135,0.5368227078753395
0,M_P_h1_1026_00383,0.04199492296918768
0,M_P_h1_1023_00618,0.05197505197505198
0,M_P_m2_824_00136,0.013201804246580367
0,M_P_m2_822_00400,0.05442560076706418
0,M_P_h3_1214_00186,0.03163522476827198
0,M_HS_h1_1010_00892,0.5185007974481659
0,M_HS_h2_1112_00117,0.4887316561844864
0,M_P_h2_1125_00382,0.04842124522975587
0,M_P_h1_1011_00183,0.08007338261479523
0,M_P_h1_1015_00054,0.02098946822564913
0,M_P_h1_1025_00001,0.055450928547375246
0,M_HS_h1_1011_01068,0.2103099304237824
0,M_HS_h3_1233_00782,0.35402298850574715
0,M_HS_m2_814_00219,0.5629807692307692
0,M_HS_m1_714_03767,0.6759398496240602
0,M_HA_m2_822_00062,0.09652103843324107
0,M_HS_h1_1018_02149,0.4094650205761317
0,M_HS_m1_722_00756,0.5421562867215041
0,M_HS_h2_1125_03664,0.7430232558139535
